Add auto layout	Thêm auto layout
Add current frame to render queue	Thêm frame hiện tại vào hàng đợi render
Add menu	Mở menu Add
Add mode	Chế độ Add
Add new fill	Thêm màu tô mới
Add new page after last page	Thêm trang mới sau trang cuối
Add new stroke	Thêm nét viền mới
Add Selection To Next Find Match	Thêm vùng chọn vào kết quả tìm tiếp theo
Add URL to selection (link)	Thêm URL vào vùng chọn (liên kết)
Add www. and .com and open in current tab	Thêm www. và .com rồi mở trong thẻ hiện tại
Add www. and .com and open in new window	Thêm www. và .com rồi mở trong cửa sổ mới
Add www. and .com to text in the address bar	Thêm www. và .com vào văn bản trong thanh địa chỉ
Add-ons	Tiện ích bổ sung
Address bar	Thanh địa chỉ
Airbrush	Airbrush
Align and Distribute	Căn chỉnh và phân bố
Align both ends or equal spacing	Căn đều hai đầu hoặc giãn cách đều
Align left	Căn trái
Align left, right, or center	Căn trái, phải hoặc giữa
Align paragraph left	Căn trái đoạn văn
Align paragraph left, right, or center	Căn đoạn văn sang trái, phải hoặc giữa
Align paragraph right	Căn phải đoạn văn
Align right	Căn phải
Align selected horizontal text left, center, or right	Căn văn bản ngang đã chọn sang trái, giữa hoặc phải
Align selected vertical text top, center, or bottom	Căn văn bản dọc đã chọn lên trên, giữa hoặc xuống dưới
Align text left	Căn trái văn bản
Align text right	Căn phải văn bản
Align to grid (on/off)	Căn theo lưới (bật/tắt)
All caps	Viết hoa toàn bộ
All caps (on/off)	Viết hoa toàn bộ (bật/tắt)
All keyboard shortcuts	Tất cả phím tắt
All unread	Tất cả chưa đọc
All uppercase	Toàn bộ chữ hoa
Always On Top	Luôn ở trên cùng
Anchor layer	Neo layer
Answer incoming call	Trả lời cuộc gọi đến
Application	Ứng dụng
Apply a value and copy object	Áp dụng giá trị và sao chép đối tượng
Apply a value and keep focus in edit field	Áp dụng giá trị và giữ tiêu điểm trong trường chỉnh sửa
Apply a value and scale option proportionately for width or height	Áp dụng giá trị và co giãn tương xứng theo chiều rộng hoặc chiều cao
Apply Currency format	Áp dụng định dạng Tiền tệ
Apply Date format	Áp dụng định dạng Ngày
Apply General number format	Áp dụng định dạng số Chung
Apply Gradient	Áp dụng Gradient
Apply Heading 1	Áp dụng Tiêu đề 1
Apply Heading 2	Áp dụng Tiêu đề 2
Apply Heading 3	Áp dụng Tiêu đề 3
Apply last effect to the selected object	Áp dụng effect gần nhất cho đối tượng đã chọn
Apply last effect to the selected object by adjusting the values in the effects dialog box	Áp dụng effect gần nhất cho đối tượng đã chọn bằng cách điều chỉnh giá trị trong hộp thoại effect
Apply last pathfinder effect to the selected object	Áp dụng effect pathfinder gần nhất cho đối tượng đã chọn
Apply markdown formatting	Áp dụng định dạng Markdown
Apply No Color	Áp dụng Không màu
Apply Normal style	Áp dụng kiểu Normal
Apply Number format	Áp dụng định dạng Số
Apply outline border	Áp dụng viền ngoài
Apply Percentage format	Áp dụng định dạng Phần trăm
Apply Time format	Áp dụng định dạng Thời gian
Apply transformation	Áp dụng phép biến đổi
Apply value and copy object	Áp dụng giá trị và sao chép đối tượng
Apply value and keep text box active	Áp dụng giá trị và giữ hộp văn bản đang hoạt động
Apply width, height, or scale value proportionally	Áp dụng giá trị chiều rộng, chiều cao hoặc tỷ lệ một cách tương xứng
Archive the conversation	Lưu trữ cuộc trò chuyện
Artboard tool	Công cụ Artboard
Asian language hyphenation	Gạch nối cho ngôn ngữ châu Á
Attach file	Đính kèm file
Auto leading	Giãn dòng tự động
Auto-hyphenate (on/off)	Tự động gạch nối (bật/tắt)
Auto-Indent Lines	Tự động thụt lề các dòng
AutoSum	AutoSum
Back	Quay lại
Back 10 frames	Lùi 10 frame
Back 10 seconds	Lùi 10 giây
Back to the conversation list	Quay lại danh sách cuộc trò chuyện
Basic completion	Hoàn thành cơ bản
Basic editing	Soạn thảo cơ bản
Basic letter group setting or detail setting	Cài đặt nhóm ký tự cơ bản hoặc cài đặt chi tiết
Beginning of document	Đầu tài liệu
Beginning of text box	Đầu hộp văn bản
Bevel	Vát cạnh
Big heading	Tiêu đề lớn
Blend (Gradient)	Hoà trộn (Gradient)
Blend objects	Hoà trộn đối tượng
Blend tool	Công cụ Blend
Blob Brush tool	Công cụ Blob Brush
Blur/Sharpen	Làm mờ/Làm sắc nét
Bold	Đậm
Bold (only for fonts with bold face)	Đậm (chỉ với font có kiểu chữ đậm)
Bold selected text	In đậm văn bản đã chọn
Bookmark all open tabs	Đánh dấu trang cho tất cả thẻ đang mở
Bookmark all tabs	Đánh dấu trang cho tất cả thẻ
Bookmark current page	Đánh dấu trang hiện tại
Bookmark this page	Đánh dấu trang này
Bookmarks sidebar	Thanh bên dấu trang
Bottom-align text vertically	Căn dưới văn bản theo chiều dọc
Box select	Chọn theo khung
Break paths apart	Tách rời các path
Bring a selection forward	Đưa vùng chọn lên trước
Bring object to front	Đưa đối tượng lên trên cùng
Bring shape to front	Đưa hình lên trên cùng
Bring the selection forward	Đưa vùng chọn lên trước
Browse channels	Duyệt kênh
Browse DMs	Duyệt tin nhắn trực tiếp
Browse in Adobe Bridge	Duyệt trong Adobe Bridge
Browser Console	Console trình duyệt
Browser features	Tính năng trình duyệt
Brushes	Các brush
Bucket Fill	Bucket Fill
Build Project	Build dự án
Bulleted list	Danh sách dấu đầu dòng
Calculate active worksheet	Tính toán trang tính đang hoạt động
Calculate all worksheets	Tính toán tất cả trang tính
Calendar	Lịch
Calligraphy tool	Công cụ Calligraphy
Camera view	Chế độ xem camera
Cancel a command	Huỷ lệnh
Cancel an entry	Huỷ mục nhập
Cancel conversation	Huỷ cuộc trò chuyện
Captions on or off	Bật hoặc tắt phụ đề
Capture a screenshot	Chụp màn hình
Caret browsing	Duyệt bằng dấu nháy
Caret navigation and selection	Điều hướng và chọn bằng dấu nháy
Cell formatting	Định dạng ô
Center	Căn giữa
Center paragraph	Căn giữa đoạn văn
Center text horizontally	Căn giữa văn bản theo chiều ngang
Center text vertically	Căn giữa văn bản theo chiều dọc
Center-selected layers in view (modifies Position property to place anchor points of selected layers in center of current view)	Căn giữa các layer đã chọn trong chế độ xem (điều chỉnh thuộc tính Position để đặt điểm neo của các layer đã chọn vào giữa chế độ xem hiện tại)
Change case	Đổi chữ hoa/thường
Change input option	Thay đổi tuỳ chọn nhập
Change pointer to cross hair for Lasso tool	Đổi con trỏ thành hình chữ thập cho công cụ Lasso
Change Signature	Thay đổi chữ ký
Change start menu size	Thay đổi kích thước menu Bắt đầu
Character and Paragraph panels	Bảng Ký tự và Đoạn văn
Character and paragraph styles	Kiểu ký tự và đoạn văn
Character formatting	Định dạng ký tự
Chat and AI	Trò chuyện và AI
Chat navigation	Điều hướng trò chuyện
Check spelling	Kiểm tra chính tả
Checklist	Danh sách kiểm tra
Chrome features	Tính năng Chrome
Circle select	Chọn theo vòng tròn
Clear all formatting	Xoá tất cả định dạng
Clear all manual kerning and reset tracking to 0	Xoá toàn bộ kerning thủ công và đặt lại tracking về 0
Clear Browsing Data	Xoá dữ liệu duyệt web
Clear buffer	Xoá bộ đệm
Clear console	Xoá console
Clear formatting	Xoá định dạng
Clear location	Xoá vị trí
Clear or reset selected field	Xoá hoặc đặt lại trường đã chọn
Clear parent	Xoá quan hệ cha
Clear recent history	Xoá lịch sử gần đây
Clear rotation	Xoá góc xoay
Clear scale	Xoá tỷ lệ
Clear selection	Xoá vùng chọn
Clipboard	Bảng tạm
Clipboard and selection	Bảng tạm và vùng chọn
Clone	Nhân bản
Clone object	Nhân bản đối tượng
Close	Đóng
Close active panel or all viewers of type of active viewer (closes content first). For example, if a Timeline panel is active, this command closes all Timeline panels.	Đóng bảng đang hoạt động hoặc tất cả trình xem cùng loại với trình xem đang hoạt động (đóng nội dung trước). Ví dụ: nếu một bảng Timeline đang hoạt động, lệnh này sẽ đóng tất cả các bảng Timeline.
Close active viewer or panel (closes content first)	Đóng trình xem hoặc bảng đang hoạt động (đóng nội dung trước)
Close active window	Đóng cửa sổ đang hoạt động
Close All	Đóng tất cả
Close current desktop	Đóng màn hình nền hiện tại
Close current pane	Đóng ngăn hiện tại
Close current tab	Đóng thẻ hiện tại
Close current window	Đóng cửa sổ hiện tại
Close document	Đóng tài liệu
Close document window	Đóng cửa sổ tài liệu
Close Editor	Đóng trình soạn thảo
Close find bar	Đóng thanh tìm
Close Magnifier	Đóng Kính lúp
Close PowerPoint	Đóng PowerPoint
Close tab	Đóng thẻ
Close the active database window	Đóng cửa sổ cơ sở dữ liệu đang hoạt động
Close the app	Đóng ứng dụng
Close the current active tab	Đóng thẻ hiện đang hoạt động
Close the current publication	Đóng ấn phẩm hiện tại
Close the current tab	Đóng thẻ hiện tại
Close the current tab (alt)	Đóng thẻ hiện tại (cách khác)
Close the current window	Đóng cửa sổ hiện tại
Close the current window (alt)	Đóng cửa sổ hiện tại (cách khác)
Close the document window	Đóng cửa sổ tài liệu
Close the program window	Đóng cửa sổ chương trình
Close the Reviewing pane	Đóng ngăn Xem lại
Close window	Đóng cửa sổ
Close workbook	Đóng sổ tính
Code completion and assistance	Hoàn thành mã và hỗ trợ
Codeblock selected text	Định dạng văn bản đã chọn thành khối mã
Collapse all	Thu gọn tất cả
Collapse item	Thu gọn mục
Color context	Ngữ cảnh màu
Color panel	Bảng màu
Color Picker	Bộ chọn màu
Column Graph tool	Công cụ Column Graph
Combine paths	Gộp các path
Command Palette	Command Palette
Comment on the post	Bình luận về bài đăng
Comment with block comment	Chú thích dạng khối
Comment with line comment	Chú thích dạng dòng
Commit	Commit
Complete current statement	Hoàn thành câu lệnh hiện tại
Compose	Soạn thư
Compose a new message	Soạn thư mới
Compose a new message (alt)	Soạn thư mới (cách khác)
Composition	Composition
Compositor	Compositor
Console	Console
Constrain Blob Brush path horizontally or vertically	Ràng buộc path của Blob Brush theo chiều ngang hoặc dọc
Context Help	Trợ giúp theo ngữ cảnh
Context menu	Menu ngữ cảnh
Control panel	Bảng điều khiển
Convert Direction Point tool	Công cụ Convert Direction Point
Convert object to path	Chuyển đối tượng thành path
Convert stroke to path	Chuyển nét thành path
Copilot key (keyboards that have one)	Phím Copilot (bàn phím có phím này)
Copy	Sao chép
Copy anchor link to section	Sao chép liên kết neo đến mục
Copy animation painter	Sao chép hiệu ứng hoạt hình
Copy formatting	Sao chép định dạng
Copy formula from cell above	Sao chép công thức từ ô phía trên
Copy item	Sao chép mục
Copy line (empty selection)	Sao chép dòng (vùng chọn trống)
Copy Line Down	Sao chép dòng xuống dưới
Copy Line Up	Sao chép dòng lên trên
Copy object formatting	Sao chép định dạng đối tượng
Copy selected data	Sao chép dữ liệu đã chọn
Copy selection	Sao chép vùng chọn
Copy to clipboard	Sao chép vào bảng tạm
Create a component	Tạo component
Create a compound path	Tạo compound path
Create a contact	Tạo liên hệ
Create a contact list	Tạo danh sách liên hệ
Create a document	Tạo tài liệu
Create a document from a template	Tạo tài liệu từ mẫu
Create a document without opening the New Document dialog box	Tạo tài liệu mà không mở hộp thoại Tài liệu mới
Create a new canvas	Tạo canvas mới
Create a new database	Tạo cơ sở dữ liệu mới
Create a new folder	Tạo thư mục mới
Create a new layer	Tạo layer mới
Create a new post	Tạo bài đăng mới
Create a new project	Tạo dự án mới
Create a new section	Tạo phần mới
Create a new snippet	Tạo snippet mới
Create a private group	Tạo nhóm riêng tư
Create a Quick Note	Tạo Ghi chú nhanh
Create a reminder about a message	Tạo lời nhắc về tin nhắn
Create chart on new sheet	Tạo biểu đồ trên trang tính mới
Create crop marks around selected object	Tạo dấu cắt xén quanh đối tượng đã chọn
Create dynamic offset	Tạo offset động
Create embedded chart	Tạo biểu đồ nhúng
Create linked offset	Tạo offset liên kết
Create new calendar item	Tạo mục lịch mới
Create new layer	Tạo layer mới
Create new message or calendar event	Tạo thư mới hoặc sự kiện lịch
Create new symbol	Tạo symbol mới
Create or join a server	Tạo hoặc tham gia máy chủ
Create or release a clipping mask	Tạo hoặc gỡ bỏ clipping mask
Create outlines	Tạo outline
Create Table	Tạo bảng
Create variable width points	Tạo điểm độ rộng biến thiên
Crop and Resize	Cắt xén và thay đổi kích thước
Crop to selection	Cắt xén theo vùng chọn
Current page	Trang hiện tại
Curvature tool	Công cụ Curvature
Cut	Cắt
Cut item	Cắt mục
Cut line (empty selection)	Cắt dòng (vùng chọn trống)
Cut selected data	Cắt dữ liệu đã chọn
Cut selection	Cắt vùng chọn
Cycle absolute and relative references	Chuyển đổi giữa tham chiếu tuyệt đối và tương đối
Cycle focus through pages	Chuyển tiêu điểm lần lượt qua các trang
Cycle focus through pages in reverse	Chuyển tiêu điểm lần lượt qua các trang theo chiều ngược lại
Cycle through elements in the active window	Chuyển lần lượt qua các phần tử trong cửa sổ đang hoạt động
Cycle through open drawings	Chuyển lần lượt qua các bản vẽ đang mở
Cycle through open drawings in reverse	Chuyển lần lượt qua các bản vẽ đang mở theo chiều ngược lại
Cycle through open Windows	Chuyển lần lượt qua các cửa sổ đang mở
Cycle through panes	Chuyển lần lượt qua các ngăn
Cycle through tabs in recently used order	Chuyển lần lượt qua các thẻ theo thứ tự dùng gần đây
Cycle through units of measurement	Chuyển lần lượt qua các đơn vị đo lường
Cycle to previous or next item in active viewer (for example, cycle through open compositions)	Chuyển đến mục trước hoặc tiếp theo trong trình xem đang hoạt động (ví dụ: chuyển lần lượt qua các composition đang mở)
Cycle to previous or next panel in active frame (for example, cycle through open Timeline panels)	Chuyển đến bảng trước hoặc tiếp theo trong frame đang hoạt động (ví dụ: chuyển lần lượt qua các bảng Timeline đang mở)
Darken mode	Chế độ Darken
Data entry and editing	Nhập và chỉnh sửa dữ liệu
Datasheet navigation	Điều hướng biểu dữ liệu
Debug	Debug
Debug context configuration	Cấu hình ngữ cảnh debug
Decline call	Từ chối cuộc gọi
Decline incoming call	Từ chối cuộc gọi đến
Decrease Bristle brush size	Giảm kích cỡ Bristle brush
Decrease brush or tool width	Giảm độ rộng brush hoặc công cụ
Decrease font size	Giảm cỡ chữ
Decrease font size by 1 point	Giảm cỡ chữ 1 điểm
Decrease indent	Giảm thụt lề
Decrease kerning	Giảm khoảng cách ký tự
Decrease kerning between words	Giảm khoảng cách giữa các từ
Decrease or increase font size of selected text by 2 units	Giảm hoặc tăng cỡ chữ của văn bản đã chọn 2 đơn vị
Decrease scale by 1%	Giảm tỷ lệ 1%
Decrease scale by 5%	Giảm tỷ lệ 5%
Decrease the brush size	Giảm kích cỡ brush
Decrease the intensity of symbols (when using Symbolism tool)	Giảm cường độ của biểu tượng (khi dùng công cụ Symbolism)
Definition tag	Thẻ định nghĩa
Delete	Xoá
Delete a message you sent	Xoá tin nhắn đã gửi
Delete all effects from selected layers	Xoá tất cả effect khỏi các layer đã chọn
Delete Anchor Point tool	Công cụ Delete Anchor Point
Delete currently selected message	Xoá tin nhắn đang chọn
Delete item	Xoá mục
Delete keyframe	Xoá keyframe
Delete Line	Xoá dòng
Delete message or item	Xoá tin nhắn hoặc mục
Delete one word to the left	Xoá một từ bên trái
Delete one word to the right	Xoá một từ bên phải
Delete previous word in text field	Xoá từ liền trước trong trường văn bản
Delete selected	Xoá phần đã chọn
Delete selected cells	Xoá các ô đã chọn
Delete selected width point	Xoá điểm độ rộng đã chọn
Delete selection	Xoá vùng chọn
Delete the conversation	Xoá cuộc trò chuyện
Delete the selected item	Xoá mục đã chọn
Delete the selected item permanently	Xoá vĩnh viễn mục đã chọn
Delete the word before the cursor	Xoá từ liền trước con trỏ
Delete word in front of insertion point (Story Editor)	Xoá từ phía trước điểm chèn (Story Editor)
Delete word to the left	Xoá từ bên trái
Delete word to the right	Xoá từ bên phải
Demote paragraph	Hạ cấp đoạn văn
Deselect	Bỏ chọn
Deselect a width point	Bỏ chọn điểm độ rộng
Deselect all	Bỏ chọn tất cả
Deselect all keyframes, properties, and property groups	Bỏ chọn tất cả keyframe, thuộc tính và nhóm thuộc tính
Deselect all layers	Bỏ chọn tất cả layer
Deselect the current selection	Bỏ chọn vùng chọn hiện tại
Desktop Shortcuts	Phím tắt màn hình nền
Dialogs	Hộp thoại
Difference mode	Chế độ Difference
Direct Selection tool	Công cụ Direct Selection
Display	Hiển thị
Display all filtered tasks or resources	Hiển thị tất cả nhiệm vụ hoặc tài nguyên đã lọc
Display filename corresponding to the frame at the current time in the Info panel	Hiển thị tên file tương ứng với frame tại thời điểm hiện tại trong bảng Info
Display properties for the selected item	Hiển thị thuộc tính của mục đã chọn
Display shortcut menu for selected item	Hiển thị menu lối tắt cho mục đã chọn
Display snapshot in active viewer	Hiển thị ảnh chụp nhanh trong trình xem đang hoạt động
Display task or resource information	Hiển thị thông tin nhiệm vụ hoặc tài nguyên
Display the entire object	Hiển thị toàn bộ đối tượng
Display the Immediate window	Hiển thị cửa sổ Immediate
Display the pop-up menu that has focus	Hiển thị menu bật lên đang có tiêu điểm
Display the Stroke panel	Hiển thị bảng Stroke
Display/Hide desktop	Hiện/Ẩn màn hình nền
Distort objects using a mesh as the shape of the envelope	Làm biến dạng đối tượng bằng cách dùng lưới làm hình dạng envelope
Distort objects using a warp-shaped envelope	Làm biến dạng đối tượng bằng envelope dạng warp
Distort objects using another object as the shape of the envelope	Làm biến dạng đối tượng bằng cách dùng đối tượng khác làm hình dạng envelope
Distribute paragraph evenly	Phân bố đều đoạn văn
Dock the OneNote window	Neo cửa sổ OneNote
Document Properties	Thuộc tính tài liệu
Dodge/Burn	Dodge/Burn
Double line spacing	Giãn cách dòng đôi
Double underline	Gạch chân đôi
Downloads	Tải xuống
Draw	Vẽ
Dropper tool	Công cụ ống hút màu
Duplicate	Nhân bản
Duplicate and offset selection	Nhân bản và dịch chuyển vùng chọn
Duplicate and offset selection by 10 times	Nhân bản và dịch chuyển vùng chọn gấp 10 lần
Duplicate and transform	Nhân bản và biến đổi
Duplicate current tab	Nhân bản thẻ hiện tại
Duplicate image	Nhân bản hình ảnh
Duplicate item	Nhân bản mục
Duplicate Line or Selection	Nhân bản dòng hoặc vùng chọn
Duplicate linked	Nhân bản liên kết
Duplicate pane (horizontal split)	Nhân bản ngăn (chia ngang)
Duplicate pane (vertical split)	Nhân bản ngăn (chia dọc)
Duplicate render item with same output filename as original	Nhân bản mục render với cùng tên file đầu ra như bản gốc
Duplicate selected layers, masks, effects, text selectors, animators, puppet meshes, shapes, render items, output modules, or compositions	Nhân bản các layer, mask, effect, bộ chọn văn bản, animator, puppet mesh, hình dạng, mục render, mô-đun đầu ra hoặc composition đã chọn
Duplicate selected object	Nhân bản đối tượng đã chọn
Duplicate selected slide	Nhân bản trang chiếu đã chọn
Duplicate selection	Nhân bản vùng chọn
Duplicate the current tab	Nhân bản thẻ hiện tại
Duplicate the selection	Nhân bản vùng chọn
Duplicate to a new layer	Nhân bản sang layer mới
Easy ease selected keyframes	Áp dụng Easy Ease cho các keyframe đã chọn
Easy ease selected keyframes in	Áp dụng Easy Ease In cho các keyframe đã chọn
Edge select mode	Chế độ chọn cạnh
Edit	Chỉnh sửa
Edit a message you sent	Chỉnh sửa tin nhắn đã gửi
Edit a pattern	Chỉnh sửa pattern
Edit active cell	Chỉnh sửa ô hiện hoạt
Edit in a view	Chỉnh sửa trong chế độ xem
Edit mode (mesh)	Chế độ chỉnh sửa (lưới)
Edit previous message	Chỉnh sửa tin nhắn trước
Edit selected footage item in application with which it’s associated (Edit Original)	Chỉnh sửa mục footage đã chọn trong ứng dụng được liên kết (Edit Original)
Edit shapes	Chỉnh sửa hình dạng
Edit text	Chỉnh sửa văn bản
Edit text and data	Chỉnh sửa văn bản và dữ liệu
Edit the active cell	Chỉnh sửa ô hiện hoạt
Editing	Soạn thảo
Editing paths and frames	Chỉnh sửa path và frame
Editor and window management	Quản lý trình soạn thảo và cửa sổ
Editor switching	Chuyển đổi trình soạn thảo
Effects and animation presets	Effect và preset hoạt hình
Ellipse / arc tool	Công cụ elip / cung tròn
Ellipse Select	Chọn vùng elip
Ellipse tool	Công cụ Elip
Enable or disable full page view	Bật hoặc tắt chế độ xem toàn trang
Enable time remapping for selected layers	Bật time remapping cho các layer đã chọn
Enable/Disable Chinese IME	Bật/Tắt IME tiếng Trung
End call	Kết thúc cuộc gọi
End of document	Đến cuối tài liệu
End of text box	Đến cuối hộp văn bản
End slide show	Kết thúc trình chiếu
Enter current date	Nhập ngày hiện tại
Enter current time	Nhập giờ hiện tại
Enter full screen	Vào chế độ toàn màn hình
Enter full-screen view	Vào chế độ xem toàn màn hình
Enter or exit Immersive Reader	Vào hoặc thoát Immersive Reader
Environment selector	Bộ chọn môi trường
Eraser	Tẩy
Eraser tool	Công cụ tẩy
Evaluate Expression	Đánh giá biểu thức
Exit Access	Thoát Access
Exit Artboard tool mode	Thoát chế độ công cụ Artboard
Exit free-transform mask editing mode	Thoát chế độ chỉnh sửa mask biến đổi tự do
Exit Full Screen mode	Thoát chế độ Toàn màn hình
Exit full-screen view	Thoát chế độ xem toàn màn hình
Exit selected chat / global search	Thoát cuộc trò chuyện đã chọn / tìm kiếm toàn cục
Exit the application	Thoát ứng dụng
Expand all	Mở rộng tất cả
Expand all folders	Mở rộng tất cả thư mục
Expand compose box	Mở rộng hộp soạn tin
Expand item	Mở rộng mục
Expand or collapse the workspace switcher	Mở rộng hoặc thu gọn trình chuyển đổi không gian làm việc
Expand or collapse vertical tabs	Mở rộng hoặc thu gọn thẻ dọc
Export	Xuất
Export As	Xuất dưới dạng
Export to	Xuất sang
Extend selection	Mở rộng vùng chọn
Extend selection by one cell	Mở rộng vùng chọn thêm một ô
Extend selection to last nonblank cell	Mở rộng vùng chọn đến ô không trống cuối cùng
Extend selection to last used cell	Mở rộng vùng chọn đến ô được dùng cuối cùng
Extend selection to start of worksheet	Mở rộng vùng chọn đến đầu trang tính
Extract Method	Trích xuất phương thức
Extrude region	Đùn vùng
Eyedropper tool	Công cụ hút màu
Face select mode	Chế độ chọn mặt
FancyZones	FancyZones
Fast Previews > Adaptive Resolution	Fast Previews > Độ phân giải thích ứng
Fast Previews > Draft	Fast Previews > Bản nháp
Fast Previews > Fast Draft	Fast Previews > Bản nháp nhanh
Fast Previews > Off	Fast Previews > Tắt
Fast Previews > Wireframe	Fast Previews > Khung dây
File	File
File management	Quản lý file
File Structure	Cấu trúc file
Fill	Tô màu
Fill and Stroke	Tô màu và nét viền
Fill down	Điền xuống
Fill down a column	Điền xuống theo cột
Fill right	Điền sang phải
Fill selected range with current entry	Điền mục nhập hiện tại vào phạm vi đã chọn
Fill with background color	Tô bằng màu nền
Fill with foreground color	Tô bằng màu tiền cảnh
Fill with pattern	Tô bằng hoạ tiết
Filters	Bộ lọc
Find	Tìm
Find Action	Tìm hành động
Find again	Tìm lại
Find and replace	Tìm và thay thế
Find everything	Tìm tất cả
Find in current chat or channel	Tìm trong cuộc trò chuyện hoặc kênh hiện tại
Find in Files	Tìm trong file
Find in Project panel	Tìm trong bảng Project
Find in this page	Tìm trong trang này
Find in Timeline panel	Tìm trong bảng Timeline
Find next	Tìm tiếp theo
Find next match	Tìm kết quả khớp tiếp theo
Find next occurrence of Find What text	Tìm lần xuất hiện tiếp theo của văn bản Find What
Find next result	Tìm kết quả tiếp theo
Find or start a direct message	Tìm hoặc bắt đầu tin nhắn trực tiếp
Find previous	Tìm trước đó
Find previous match	Tìm kết quả khớp trước đó
Find previous result	Tìm kết quả trước đó
Find text	Tìm văn bản
Find text in the canvas	Tìm văn bản trên canvas
Find Usages	Tìm chỗ sử dụng
Find, save, print	Tìm, lưu, in
Finding and changing text	Tìm và thay đổi văn bản
Finish adding objects to the blend	Hoàn tất thêm đối tượng vào blend
First cell in the column	Ô đầu tiên trong cột
First cell in the row	Ô đầu tiên trong hàng
First frame	Frame đầu tiên
First page in section	Trang đầu tiên trong phần
Fit image in window	Vừa khít ảnh trong cửa sổ
Fit selection in window	Vừa khít vùng chọn trong cửa sổ
Fit view to window	Vừa khít chế độ xem với cửa sổ
Flag message	Gắn cờ thư
Flash Fill	Flash Fill
Flip	Lật
Flip shape horizontally	Lật hình theo chiều ngang
Flip shape vertically	Lật hình theo chiều dọc
Float selection	Thả nổi vùng chọn
Focus	Tiêu điểm
Focus address bar	Chuyển tiêu điểm đến thanh địa chỉ
Focus into First Editor Group	Chuyển tiêu điểm đến nhóm trình soạn thảo thứ nhất
Focus into Second Editor Group	Chuyển tiêu điểm đến nhóm trình soạn thảo thứ hai
Focus into Third Editor Group	Chuyển tiêu điểm đến nhóm trình soạn thảo thứ ba
Focus next link or input field	Chuyển tiêu điểm đến liên kết hoặc trường nhập tiếp theo
Focus Next Search Result	Chuyển tiêu điểm đến kết quả tìm kiếm tiếp theo
Focus on the notification area	Chuyển tiêu điểm đến khu vực thông báo
Focus previous link or input field	Chuyển tiêu điểm đến liên kết hoặc trường nhập trước đó
Focus Previous Search Result	Chuyển tiêu điểm đến kết quả tìm kiếm trước đó
Focus search bar	Chuyển tiêu điểm đến thanh tìm kiếm
Focus text area	Chuyển tiêu điểm đến vùng văn bản
Font dialog box	Hộp thoại phông chữ
Font size	Cỡ phông chữ
Footage	Footage
